date,weatherDay,weatherNight,minTemp,maxTemp,windDay,windNight
2014年01月31日,多云,雾,-2,4,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月01日,阴,雾,-1,6,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月02日,晴,多云,-4,9,北风 4-5级,北风 4-5级
2014年02月03日,晴,晴,-7,1,北风 4-5级,北风 3-4级
2014年02月04日,晴,多云,-7,1,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月05日,晴,阴,-5,1,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月06日,阴,小到中雪,-4,0,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月07日,小雪,小雪,-5,-2,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月08日,晴,晴,-9,0,北风 3-4级,北风 3-4级
2014年02月09日,晴,晴,-11,-2,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月10日,晴,晴,-10,0,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月11日,晴,晴,-9,0,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月12日,晴,多云,-7,2,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月13日,小雪,阴,-6,0,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月14日,霾,多云,-5,2,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月15日,霾,多云,-4,3,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月16日,霾,多云,-4,5,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月17日,多云,多云,-4,4,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月18日,阴,小雪,-4,2,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月19日,晴,晴,-5,5,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月20日,霾,雾,-4,4,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月21日,霾,雾,-2,3,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月22日,霾,雾,0,4,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月23日,霾,雾,-1,4,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月24日,霾,雾,1,7,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月25日,霾,雾,2,9,无持续风向 ≤3级,无持续风向 ≤3级
2014年02月26日,小雨,阴,2,9,无持续风向 ≤3级,北风 3-4级
2014年02月27日,晴,晴,-3,9,北风 3-4级,无持续风向 ≤3级
2014年02月28日,阴,多云,-2,5,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月01日,晴,晴,-2,10,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月02日,晴,晴,-2,10,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月03日,霾,阴,1,6,无持续风向 ≤3级,北风 3-4级
2014年03月04日,晴,晴,-3,8,北风 4-5级,北风 3-4级
2014年03月05日,晴,晴,-3,9,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月06日,晴,晴,-3,7,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月07日,多云,阴,-1,8,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月08日,晴,晴,-2,8,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月09日,晴,霾,-2,10,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月10日,晴,霾,2,11,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月11日,霾,小雨,3,12,无持续风向 ≤3级,北风 4-5级
2014年03月12日,晴,晴,-2,10,北风 3-4级,无持续风向 ≤3级
2014年03月13日,多云,多云,3,13,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月14日,晴,晴,2,16,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月15日,晴,晴,5,19,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月16日,晴,多云,5,17,无持续风向 ≤3级,北风 3-4级
2014年03月17日,浮尘,晴,5,19,北风 4-5级,北风 4-5级
2014年03月18日,多云,阴,6,16,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月19日,阴,晴,5,12,北风 3-4级,北风 4-5级
2014年03月20日,晴,晴,4,17,北风 3-4级,无持续风向 ≤3级
2014年03月21日,晴,晴,5,20,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月22日,晴,晴,6,23,北风 3-4级,无持续风向 ≤3级
2014年03月23日,晴,多云,6,20,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月24日,霾,霾,8,22,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月25日,霾,霾,9,23,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月26日,霾,霾,10,22,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月27日,霾,阵雨,13,21,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月28日,霾,多云,11,21,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月29日,晴,晴,8,22,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月30日,晴,阴,10,24,无持续风向 ≤3级,无持续风向 ≤3级
2014年03月31日,小雨,多云,9,20,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月01日,霾,多云,11,23,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月02日,阴,阴,10,22,无持续风向 ≤3级,北风 3-4级
2014年04月03日,晴,晴,7,20,北风 4-5级,无持续风向 ≤3级
2014年04月04日,晴,晴,8,24,北风 4-5级,北风 3-4级
2014年04月05日,晴,晴,6,21,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月06日,晴,晴,9,26,南风 3-4级,无持续风向 ≤3级
2014年04月07日,晴,晴,10,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月08日,霾,霾,12,25,无持续风向 ≤3级,南风 3-4级
2014年04月09日,晴,晴,11,28,北风 4-5级,东北风 3-4级
2014年04月10日,多云,阴,11,18,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月11日,阴,多云,11,18,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月12日,多云,多云,9,22,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月13日,晴,霾,12,23,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月14日,霾,多云,15,24,南风 3-4级,无持续风向 ≤3级
2014年04月15日,多云,阴,12,24,南风 3-4级,无持续风向 ≤3级
2014年04月16日,多云,小雨,12,21,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月17日,阴,多云,11,17,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月18日,多云,阴,12,20,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月19日,小雨,晴,8,16,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月20日,多云,多云,10,22,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月21日,晴,晴,10,25,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月22日,晴,多云,13,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月23日,多云,多云,16,27,南风 3-4级,无持续风向 ≤3级
2014年04月24日,多云,多云,16,23,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月25日,雷阵雨,阵雨,12,25,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月26日,晴,晴,9,23,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月27日,晴,多云,11,26,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月28日,晴,晴,11,25,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月29日,晴,晴,13,28,无持续风向 ≤3级,无持续风向 ≤3级
2014年04月30日,晴,晴,16,29,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月01日,雷阵雨,阵雨,14,27,北风 4-5级,北风 4-5级
2014年05月02日,多云,阴,12,23,北风 5-6级,无持续风向 ≤3级
2014年05月03日,雷阵雨,扬沙,10,24,北风 5-6级,北风 5-6级
2014年05月04日,晴,晴,7,19,北风 4-5级,无持续风向 ≤3级
2014年05月05日,多云,多云,8,21,北风 3-4级,无持续风向 ≤3级
2014年05月06日,雷阵雨,雷阵雨,10,21,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月07日,晴,晴,12,25,北风 3-4级,无持续风向 ≤3级
2014年05月08日,多云,多云,14,23,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月09日,阴,阴,15,20,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月10日,阵雨,小到中雨,10,20,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月11日,小雨,阴,8,15,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月12日,晴,晴,16,29,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月13日,多云,晴,16,30,北风 3-4级,北风 3-4级
2014年05月14日,多云,晴,10,24,北风 4-5级,无持续风向 ≤3级
2014年05月15日,阴,浮尘,16,28,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月16日,晴,晴,15,28,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月17日,多云,多云,16,28,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月18日,晴,雷阵雨,19,30,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月19日,多云,晴,17,31,北风 3-4级,无持续风向 ≤3级
2014年05月20日,多云,晴,18,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月21日,晴,晴,19,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月22日,晴,晴,22,35,南风 3-4级,无持续风向 ≤3级
2014年05月23日,多云,雷阵雨,20,33,南风 3-4级,无持续风向 ≤3级
2014年05月24日,小雨,阴,19,25,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月25日,浮尘,晴,16,30,北风 4-5级,北风 3-4级
2014年05月26日,晴,晴,19,35,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月27日,浮尘,晴,19,33,北风 5-6级,北风 4-5级
2014年05月28日,晴,多云,22,37,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月29日,晴,多云,23,38,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月30日,晴,多云,22,37,无持续风向 ≤3级,无持续风向 ≤3级
2014年05月31日,多云,阵雨,24,34,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月01日,阴,阴,19,29,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月02日,阴,多云,17,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月03日,晴,晴,20,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月04日,雷阵雨,阴,21,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月05日,多云,雷阵雨,23,33,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月06日,中到大雨,阴,18,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月07日,晴,多云,17,31,北风 3-4级,无持续风向 ≤3级
2014年06月08日,雷阵雨,阴,17,30,北风 4-5级,无持续风向 ≤3级
2014年06月09日,雷阵雨,多云,17,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月10日,雷阵雨,雷阵雨,17,29,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月11日,多云,晴,18,29,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月12日,晴,多云,21,34,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月13日,雷阵雨,阴,21,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月14日,多云,多云,22,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月15日,雷阵雨,雷阵雨,23,34,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月16日,中雨,雷阵雨,21,29,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月17日,雷阵雨,雷阵雨,20,28,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月18日,雷阵雨,阴,20,30,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月19日,雷阵雨,雷阵雨,19,28,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月20日,多云,多云,19,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月21日,雷阵雨,雷阵雨,19,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月22日,雷阵雨,阴,18,28,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月23日,晴,晴,20,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月24日,多云,雷阵雨,22,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月25日,雷阵雨,雷阵雨,21,28,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月26日,多云,晴,23,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月27日,晴,晴,21,35,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月28日,晴,晴,22,37,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月29日,多云,多云,23,35,无持续风向 ≤3级,无持续风向 ≤3级
2014年06月30日,多云,阴,24,33,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月01日,大雨,大雨,21,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月02日,阵雨,阴,22,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月03日,雷阵雨,雷阵雨,23,29,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月04日,多云,多云,23,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月05日,霾,阴,23,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月06日,霾,多云,24,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月07日,多云,阴,24,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月08日,晴,多云,23,34,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月09日,多云,多云,22,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月10日,晴,晴,24,37,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月11日,晴,多云,22,36,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月12日,晴,晴,22,34,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月13日,多云,多云,22,36,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月14日,雷阵雨,多云,23,36,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月15日,雷阵雨,多云,24,35,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月16日,雷阵雨,雷阵雨,23,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月17日,多云,阴,24,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月18日,多云,晴,25,35,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月19日,晴,多云,26,36,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月20日,多云,雷阵雨,26,36,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月21日,阵雨,阴,26,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月22日,阴,阵雨,24,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月23日,多云,多云,23,33,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月24日,阵雨,阴,24,30,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月25日,晴,晴,22,34,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月26日,晴,晴,25,35,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月27日,晴,多云,24,35,南风 3-4级,无持续风向 ≤3级
2014年07月28日,晴,多云,24,35,南风 3-4级,无持续风向 ≤3级
2014年07月29日,雷阵雨,中雨,22,33,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月30日,阴,多云,24,29,无持续风向 ≤3级,无持续风向 ≤3级
2014年07月31日,晴,晴,24,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月01日,阴,多云,25,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月02日,多云,多云,26,33,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月03日,阴,中雨,24,34,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月04日,阵雨,阴,21,29,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月05日,多云,多云,21,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月06日,多云,晴,21,34,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月07日,晴,晴,21,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月08日,晴,多云,21,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月09日,阴,雷阵雨,21,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月10日,晴,晴,22,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月11日,晴,晴,21,33,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月12日,阴,小到中雨,19,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月13日,阵雨,多云,18,24,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月14日,多云,雷阵雨,20,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月15日,多云,晴,20,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月16日,晴,多云,22,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月17日,雷阵雨,阴,21,30,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月18日,多云,多云,21,30,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月19日,多云,晴,22,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月20日,晴,多云,23,34,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月21日,雷阵雨,多云,23,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月22日,雷阵雨,雷阵雨,22,30,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月23日,阴,雷阵雨,22,31,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月24日,多云,晴,19,31,无持续风向 ≤3级,北风 3-4级
2014年08月25日,晴,晴,19,32,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月26日,晴,多云,20,33,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月27日,晴,多云,20,34,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月28日,阵雨,小到中雨,19,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月29日,多云,多云,19,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月30日,阵雨,小到中雨,19,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年08月31日,阴,多云,20,26,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月01日,雷阵雨,大到暴雨,19,25,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月02日,小到中雨,阵雨,18,23,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月03日,晴,晴,18,29,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月04日,晴,晴,17,33,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月05日,晴,晴,19,30,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月06日,多云,阵雨,21,28,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月07日,阴,晴,21,29,无持续风向 ≤3级,北风 3-4级
2014年09月08日,晴,多云,17,30,北风 3-4级,无持续风向 ≤3级
2014年09月09日,晴,晴,16,29,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月10日,晴,阴,18,28,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月11日,阵雨,阵雨,18,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月12日,阴,多云,17,26,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月13日,多云,阴,19,26,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月14日,阴,多云,15,25,北风 3-4级,无持续风向 ≤3级
2014年09月15日,晴,晴,13,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月16日,多云,阴,14,25,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月17日,多云,晴,13,23,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月18日,晴,多云,14,26,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月19日,阴,雷阵雨,16,25,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月20日,多云,晴,16,27,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月21日,多云,雾,17,24,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月22日,阵雨,小到中雨,17,24,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月23日,小到中雨,小雨,15,20,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月24日,晴,晴,14,24,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月25日,多云,阴,17,23,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月26日,阵雨,多云,15,22,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月27日,晴,晴,15,24,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月28日,多云,阴,16,23,无持续风向 ≤3级,无持续风向 ≤3级
2014年09月29日,多云,晴,10,23,北风 4-5级,无持续风向 ≤3级
2014年09月30日,阴,阴,11,17,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月01日,阵雨,小雨,10,16,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月02日,晴,雾,11,20,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月03日,阵雨,小雨,12,17,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月04日,阵雨,阴,12,16,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月05日,晴,晴,8,21,北风 3-4级,无持续风向 ≤3级
2014年10月06日,晴,晴,9,20,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月07日,晴,晴,11,22,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月08日,霾,霾,13,22,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月09日,霾,霾,14,22,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月10日,霾,霾,13,22,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月11日,阵雨,阵雨,14,21,北风 3-4级,北风 4-5级
2014年10月12日,阴,阴,6,17,北风 4-5级,无持续风向 ≤3级
2014年10月13日,晴,晴,4,18,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月14日,晴,多云,7,20,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月15日,晴,晴,6,23,北风 5-6级,北风 3-4级
2014年10月16日,晴,晴,7,22,南风 3-4级,无持续风向 ≤3级
2014年10月17日,晴,霾,8,22,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月18日,霾,霾,11,24,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月19日,霾,霾,10,21,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月20日,霾,雾,9,21,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月21日,阴,晴,7,17,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月22日,阴,多云,8,16,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月23日,霾,霾,12,17,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月24日,霾,雾,11,19,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月25日,霾,雾,12,19,无持续风向 ≤3级,北风 3-4级
2014年10月26日,晴,晴,4,19,北风 4-5级,北风 3-4级
2014年10月27日,晴,晴,3,15,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月28日,多云,多云,6,16,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月29日,多云,阴,9,16,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月30日,小雨,多云,9,15,无持续风向 ≤3级,无持续风向 ≤3级
2014年10月31日,小雨,雾,9,14,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月01日,多云,晴,6,17,北风 3-4级,北风 4-5级
2014年11月02日,晴,晴,2,13,北风 4-5级,无持续风向 ≤3级
2014年11月03日,晴,多云,5,17,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月04日,多云,阴,6,16,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月05日,晴,晴,6,18,北风 3-4级,北风 3-4级
2014年11月06日,晴,多云,2,12,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月07日,阴,阴,2,10,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月08日,晴,晴,0,12,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月09日,晴,晴,1,14,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月10日,晴,阴,3,15,无持续风向 ≤3级,北风 3-4级
2014年11月11日,阴,晴,2,13,北风 4-5级,北风 3-4级
2014年11月12日,晴,晴,-1,9,北风 5-6级,北风 3-4级
2014年11月13日,晴,晴,-2,11,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月14日,晴,多云,0,12,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月15日,阴,小雨,1,9,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月16日,多云,晴,0,11,北风 3-4级,无持续风向 ≤3级
2014年11月17日,晴,晴,-2,11,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月18日,晴,多云,0,13,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月19日,阴,雾,0,10,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月20日,霾,晴,-1,12,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月21日,霾,晴,0,12,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月22日,晴,阴,0,11,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月23日,阴,晴,0,9,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月24日,晴,多云,-2,11,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月25日,多云,雾,-1,9,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月26日,霾,霾,1,8,无持续风向 ≤3级,无持续风向 ≤3级
2014年11月27日,阴,阴,0,8,无持续风向 ≤3级,无持续风向 ≤3级
